start:START_ID	end:END_ID	type:TYPE
1	2	ENTRY
1	3	EXIT
1	4	PARENT_OF
4	5	PARENT_OF
5	6	PARENT_OF
6	7	PARENT_OF
4	8	PARENT_OF
8	9	PARENT_OF
9	10	ENTRY
9	11	EXIT
9	12	PARENT_OF
9	13	PARENT_OF
9	14	PARENT_OF
14	15	PARENT_OF
15	16	PARENT_OF
15	17	PARENT_OF
15	18	PARENT_OF
9	19	PARENT_OF
9	20	PARENT_OF
20	21	PARENT_OF
21	22	PARENT_OF
22	23	PARENT_OF
20	24	PARENT_OF
24	25	ENTRY
24	26	EXIT
24	27	PARENT_OF
24	28	PARENT_OF
24	29	PARENT_OF
29	30	PARENT_OF
30	31	PARENT_OF
30	32	PARENT_OF
30	33	PARENT_OF
24	34	PARENT_OF
34	35	PARENT_OF
35	36	PARENT_OF
36	37	PARENT_OF
35	38	PARENT_OF
38	39	PARENT_OF
34	40	PARENT_OF
40	41	PARENT_OF
41	42	PARENT_OF
40	43	PARENT_OF
34	44	PARENT_OF
44	45	PARENT_OF
45	46	PARENT_OF
44	47	PARENT_OF
47	48	PARENT_OF
48	49	PARENT_OF
48	50	PARENT_OF
47	51	PARENT_OF
51	52	PARENT_OF
51	53	PARENT_OF
34	54	PARENT_OF
54	55	PARENT_OF
55	56	PARENT_OF
54	57	PARENT_OF
57	58	PARENT_OF
58	59	PARENT_OF
59	60	PARENT_OF
58	61	PARENT_OF
58	62	PARENT_OF
62	63	PARENT_OF
63	64	PARENT_OF
57	65	PARENT_OF
57	66	PARENT_OF
66	67	PARENT_OF
67	68	ENTRY
67	69	EXIT
67	70	PARENT_OF
67	71	PARENT_OF
67	72	PARENT_OF
72	73	PARENT_OF
73	74	PARENT_OF
73	75	PARENT_OF
73	76	PARENT_OF
72	77	PARENT_OF
77	78	PARENT_OF
77	79	PARENT_OF
77	80	PARENT_OF
67	81	PARENT_OF
67	82	PARENT_OF
82	83	PARENT_OF
83	84	PARENT_OF
84	85	PARENT_OF
85	86	PARENT_OF
86	87	PARENT_OF
87	88	PARENT_OF
86	89	PARENT_OF
85	90	PARENT_OF
90	91	PARENT_OF
91	92	PARENT_OF
90	93	PARENT_OF
93	94	PARENT_OF
84	95	PARENT_OF
95	96	PARENT_OF
96	97	PARENT_OF
97	98	PARENT_OF
98	99	PARENT_OF
97	100	PARENT_OF
100	101	PARENT_OF
96	102	PARENT_OF
102	103	PARENT_OF
103	104	PARENT_OF
104	105	PARENT_OF
103	106	PARENT_OF
102	107	PARENT_OF
107	108	PARENT_OF
82	109	PARENT_OF
109	110	PARENT_OF
110	111	PARENT_OF
67	112	PARENT_OF
67	113	PARENT_OF
66	114	PARENT_OF
34	115	PARENT_OF
115	116	PARENT_OF
116	117	PARENT_OF
115	118	PARENT_OF
118	119	PARENT_OF
119	120	PARENT_OF
119	121	PARENT_OF
118	122	PARENT_OF
122	123	PARENT_OF
122	124	PARENT_OF
118	125	PARENT_OF
125	126	PARENT_OF
125	127	PARENT_OF
34	128	PARENT_OF
128	129	PARENT_OF
129	130	PARENT_OF
128	131	PARENT_OF
131	132	PARENT_OF
132	133	PARENT_OF
133	134	PARENT_OF
132	135	PARENT_OF
132	136	PARENT_OF
136	137	PARENT_OF
137	138	PARENT_OF
131	139	PARENT_OF
131	140	PARENT_OF
140	141	PARENT_OF
141	142	ENTRY
141	143	EXIT
141	144	PARENT_OF
141	145	PARENT_OF
141	146	PARENT_OF
146	147	PARENT_OF
147	148	PARENT_OF
147	149	PARENT_OF
147	150	PARENT_OF
146	151	PARENT_OF
151	152	PARENT_OF
151	153	PARENT_OF
151	154	PARENT_OF
141	155	PARENT_OF
141	156	PARENT_OF
156	157	PARENT_OF
